folio,edad_y,beca,ed_formal,edocony,tot_resi,p0a11,ingtot
20060210570,12,6,3,6,7,0,121167.09
20060210570,23,6,3,5,7,0,121167.09
20060210580,5,6,10, ,3,1,56843.82
20060210600,13,6,10,6,5,0,151184.62
20060210600,15,6,10,6,5,0,151184.62
20060210600,14,6,10,6,5,0,151184.62
20060220020,14,6,3,6,4,0,96283.1
20060220020,14,6,3,6,4,0,96283.1
20060220030,9,6,10, ,4,2,148205.85
20060220030,7,6,10, ,4,2,148205.85
20060220060,16,6,3,6,7,1,14782.28
20060220060,9,6,3, ,7,1,14782.28
20060220100,6,6,3, ,6,4,18921.96
20060220100,11,6,3, ,6,4,18921.96
20060220100,9,6,3, ,6,4,18921.96
20060220110,22,6,3,6,3,0,16337.93
20060220120,16,6,1,6,3,0,47385.48
20060220130,13,6,9,6,4,0,137921.91
20060220140,12,6,5,6,4,2,18732.36
20060220140,9,6,5, ,4,2,18732.36
20060220170,12,6,10,6,4,1,96837.84
20060220170,11,6,10, ,4,1,96837.84
20060220180,10,6,7, ,4,2,155314.05
20060220180,7,6,7, ,4,2,155314.05
20060220190,39,6,9,1,3,0,95678.34
20060220200,26,6,9,6,2,0,88596.58
20060220220,15,6,4,6,5,1,33442.09
20060220220,11,6,4, ,5,1,33442.09
20060220230,24,6,4,6,2,0,19367.57
20060220240,16,6,6,6,5,1,20390.89
20060220250,7,6,5, ,4,2,26585.67
20060220260,15,6,5,6,4,2,18406.74
20060220270,13,6,8,6,5,1,49424.14
20060220270,12,6,8,6,5,1,49424.14
20060220270,10,6,8, ,5,1,49424.14
20060220280,6,6,3, ,5,2,33391.67
20060220300,7,6,7, ,4,2,34506.87
20060220310,10,6,5, ,3,1,47083.07
20060220330,10,6,8, ,6,4,48393.6
20060220330,9,6,8, ,6,4,48393.6
20060220330,5,6,8, ,6,4,48393.6
20060220340,7,6,9, ,4,2,65028.98
20060220350,12,6,7,6,4,1,48393.7
20060220350,7,6,7, ,4,1,48393.7
20060220360,16,6,5,6,4,0,38815.8
20060220360,14,6,5,6,4,0,38815.8
20060220370,5,6,10, ,4,2,42646.99
20060220380,21,6,8,6,3,1,69565.95
20060220380,10,6,8, ,3,1,69565.95
20060220390,9,6,5, ,3,1,37202.65
20060220400,10,6,5, ,4,2,72590.4
20060220440,17,6,5,6,2,0,20375.72
20060220480,16,6,10,6,6,1,80756.99
20060220480,8,6,10, ,6,1,80756.99
20060220500,15,6,8,6,4,1,29163.36
